"Geneid","withDOX_1_S4","withDOX_2_S5","withDOX_3_S6","woDOX_1_S1","woDOX_3_S3","woDOX_2_S2"
"4933401J01Rik",0,0,0,0,0,0
"Gm26206",0,0,0,0,0,0
"Xkr4",0,0,0,0,0,0
"Gm18956",0,0,0,0,0,0
"Gm37180",0,0,0,0,0,0
"Gm37363",0,0,0,0,0,0
"Gm37686",0,0,0,0,0,0
"Gm1992",0,0,0,0,0,0
"Gm37329",0,0,0,0,0,0
"Gm7341",0,0,0,0,0,0
"Gm38148",0,0,0,0,0,0
"Gm19938",0,0,0,0,0,0
"Gm10568",0,0,0,0,0,0
"Gm38385",0,0,0,0,0,0
"Gm27396",0,0,0,0,0,0
"Gm37381",0,0,0,0,0,0
"Rp1",0,0,0,0,0,0
"Gm6101",0,0,0,0,0,0
"Gm37483",0,0,0,0,0,0
"Sox17",0,0,0,0,0,0
"Gm37587",0,0,0,0,0,0
"Gm7357",0,0,1,1,1,0
"Gm22307",0,0,0,0,0,0
"Gm38076",0,0,0,0,0,0
"Gm37323",0,0,0,0,0,0
"Gm7369",0,0,0,1,0,0
"Gm6085",2,3,1,1,1,3
"Gm6119",1,1,2,0,2,1
"Gm25493",0,0,0,0,0,2
"Gm2053",0,0,0,0,0,0
"Gm6123",14,10,7,3,6,14
"Mrpl15",1375,1459,1425,855,1499,1563
"Gm37144",19,19,19,9,21,18
"Lypla1",1850,1862,1908,1162,2089,2205
"Gm37988",983,1025,1012,654,1081,1147
"Tcea1",2214,2299,2412,1637,2623,2536
"Gm6104",5,3,4,1,2,4
"Gm37277",49,31,38,36,62,59
"Rgs20",111,124,145,126,201,219
"Gm17100",1,1,2,0,2,1
"Gm37079",11,6,6,8,26,12
"Gm16041",24,16,20,15,29,26
"Gm17101",0,0,0,0,0,1
"Atp6v1h",2926,2712,3050,1598,2817,2814
"Gm7182",0,0,0,0,0,0
"Gm37567",0,0,0,0,0,0
"Gm38264",0,0,0,0,0,0
"Oprk1",0,0,0,0,0,0
"Gm36965",0,0,0,0,0,0
"Gm22463",0,0,0,0,0,0
"Gm37429",0,0,0,0,0,0
"Npbwr1",0,0,0,0,0,0
"Gm19214",0,0,0,0,0,0
